dataset Name (DN),GNN,Cleaned DN,Test_auc,Test_acc,Test_ap,conf_mtrx,train_auc,train_acc,train_ap
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetlobsterlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,lobster__SGC,0.4933518325818014,0.49731182795698925,0.5408172110355517,"[[ 25 161]
 [ 26 160]]",0.7641089399331836,0.5674318507890961,0.7703169934514186
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetlobsterlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,lobster__SGC,0.5084980922650018,0.4838709677419355,0.5655664981532292,"[[ 12 174]
 [ 18 168]]",0.7821530683869587,0.5494978479196556,0.7783662216138459
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetMUTAGlr00001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,MUTAG__SGC,0.5812098255280074,0.5151515151515151,0.5583463461926026,"[[ 14 118]
 [ 10 122]]",0.8414280394012594,0.5480591497227357,0.833586361973688
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetMUTAGlr00001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,MUTAG__SGC,0.5886421028466483,0.5265151515151515,0.571730046571681,"[[ 12 120]
 [  5 127]]",0.8588804876298768,0.5295748613678374,0.8404742019909874
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetMUTAGlr00001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,MUTAG__SGC,0.5766758494031221,0.5265151515151515,0.5550408948055595,"[[ 13 119]
 [  6 126]]",0.8646307754859386,0.544362292051756,0.8371899922710437
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetMUTAGlr00001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,MUTAG__SGC,0.6001492194674013,0.5340909090909091,0.5400721169376661,"[[ 15 117]
 [  6 126]]",0.8613712540274224,0.5452865064695009,0.8438959705627638
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetMUTAGlr00001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,MUTAG__SGC,0.6103650137741047,0.5303030303030303,0.5689904371985044,"[[ 19 113]
 [ 11 121]]",0.8419097925728011,0.5628465804066544,0.8249938166048434
,,,,,,,,,
